"content","original_id","from","date_created","sentiment","original_sentiment"
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/m47a8hzaJs","660769101921456128","HackedBy0414","2015-11-01 17:43:25","",""
"I'm spreading the GO-JEK love. and input this referral code "544416566" to get Rp 50,000 free credit to your first booking. #gojekgotmehere","660769094803656704","MagdaleneErni","2015-11-01 17:43:23","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/LIi378gSWD","660769092467429376","starbet312","2015-11-01 17:43:22","",""
"#agnmilanexpo Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan k... https://t.co/fw4VIwig8W #idworldexpo","660769083068026881","ylesmana83","2015-11-01 17:43:20","",""
"#agnmilanexpo Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan k... https://t.co/QlvAAJfb9e #idworldexpo","660769075505721344","karim_budiman","2015-11-01 17:43:18","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/dAeQcAa4vV","660769073572147200","PutriSmoothy","2015-11-01 17:43:18","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/G4Tmneq19D #SportBerita","660769065124823040","KompasIndo","2015-11-01 17:43:16","",""
"#agnmilanexpo Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatih... https://t.co/CShzwAxCff #17andimilanexpo","660769065095442432","bdelapanm","2015-11-01 17:43:16","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/LxxnJVYImo https://t.co/Q47TjcvWAZ","660769057382252544","IndoBerita__","2015-11-01 17:43:14","",""
"#agnmilanexpo Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatih... https://t.co/QlvAAJfb9e #17andimilanexpo","660769056325177344","karim_budiman","2015-11-01 17:43:14","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/SXcjD6eWiw","660769053179408389","KTrioka","2015-11-01 17:43:13","",""
"#NewsUpdate Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek ... https://t.co/CI6RjOaOpb","660769047689060352","mhfuuPlayer","2015-11-01 17:43:12","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/zGUdPg6dcc","660769038281281536","elinaasetiawan","2015-11-01 17:43:09","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/JNW0gcKhxU","660769037018750977","mrapdotco","2015-11-01 17:43:09","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/zbbJ0BowBi","660769032308711425","arsyidtanjung","2015-11-01 17:43:08","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/Y2QMt2IFcP","660769030714691584","krvsjung","2015-11-01 17:43:08","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/QYNG15V6dv","660769027589996544","KoranTimeline","2015-11-01 17:43:07","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/GGNr4pV8Oa #loperkoran","660769023848681472","loperkoran","2015-11-01 17:43:06","",""
"Polisi Duga Penembakan di Kantor Go-Jek Gunakan Senjata Api Rakitan https://t.co/DhCEBzjNuX","660769020149284864","RMOLJakarta","2015-11-01 17:43:05","",""
"Kantor Go-Jek Ditembak Orang, 2 Saksi Diperiksa Polisi https://t.co/8tqzmUkQxy","660769015304843264","RMOLJakarta","2015-11-01 17:43:04","",""
"@gojekindonesia dimana saya bisa memberikan kritik dan saran kepada Go Jek?","660769014717681664","Tataputra48","2015-11-01 17:43:04","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/5q4LIOtKYZ","660769007985950722","sutrisnosetyad1","2015-11-01 17:43:02","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/aDfT609KOs","660768995465805824","ErikPrasetia","2015-11-01 17:42:59","",""
"Penembak Kantor Go-Jek Pakai Jaket Real Madrid https://t.co/7Dx3LBgyYs","660768969230561280","belengsumsel","2015-11-01 17:42:53","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/zGAkffHSti","660768960753725440","gfghhjfgfh","2015-11-01 17:42:51","",""
"Detiknews Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di... https://t.co/5S3XJfbiAF","660768946493124608","gadisartis","2015-11-01 17:42:47","",""
"Detiknews Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di... https://t.co/DzcNrwZejl","660768934958788608","GunturPerkasa3","2015-11-01 17:42:45","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/CCb4WCWE1o","660768926138302464","DaRosvi","2015-11-01 17:42:43","",""
"Detiknews Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di... https://t.co/pqyolHVnt1","660768924221313024","ZhugeLiang2014","2015-11-01 17:42:42","",""
"Detiknews Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di... https://t.co/yaYsy1riEI","660768915224588288","otakumania135","2015-11-01 17:42:40","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/fTKcJuzx7u","660768911936327680","santosowibawa","2015-11-01 17:42:39","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/fD8UOSqc7J","660770054737260545","Keylaputri88","2015-11-01 17:47:12","",""
"Begini Penampakan 'Peluru' yang Ditembakkan ke Kantor - Detikcom https://t.co/Y1lyRrTqlX top stories","660770054129209349","farkhan569","2015-11-01 17:47:12","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/Cx5Sn1lOQ3","660770051654418433","Beritaindo_1","2015-11-01 17:47:11","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/TP86I2VxTu #Indonesia","660770049255276545","seIndonesia","2015-11-01 17:47:10","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/7nC674JSu8","660770048810680320","AdheSSetya","2015-11-01 17:47:10","",""
"#BeritaUpdate Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Je... https://t.co/hkSTjaN3jr","660770047195873281","KabarIndo_","2015-11-01 17:47:10","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/UXBRgdyJnj https://t.co/SDZ9y3Bcrs","660770040090746880","RealSyhnazS","2015-11-01 17:47:08","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/7JdddK1zZp","660770030494216192","_wistu","2015-11-01 17:47:06","",""
"Polisi Sebut Penembakan Kantor Go-Jek Bentuk Teror https://t.co/5vhxkFJ7lc","660770024563478528","citra1012fm","2015-11-01 17:47:05","",""
